file_id	latin_name	english_cname	who_provided_recording	country	latitude	longitute	type	license	genus
132608	acanthis flammea	common redpoll	Jarek Matusiak	poland	50.7932	15.4995	female| male| song	http://creativecommons.org/licenses/by-nc-sa/3.0/	acanthis
132611	acanthis flammea	common redpoll	Jarek Matusiak	poland	50.7932	15.4995	flight call| male| song	http://creativecommons.org/licenses/by-nc-sa/3.0/	acanthis
35068	acanthis flammea	common redpoll	Sander Bot	netherlands	52.8176	6.4326	call| song	http://creativecommons.org/licenses/by-nc-nd/2.5/	acanthis
82715	acrocephalus palustris	marsh warbler	Dougie Preston	united kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	acrocephalus
64685	acrocephalus palustris	marsh warbler	Dougie Preston	united kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	acrocephalus
64686	acrocephalus palustris	marsh warbler	Dougie Preston	united kingdom	60.3539	-1.2689	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	acrocephalus
120664	acrocephalus schoenobaenus	sedge warbler	david m	united kingdom	56.586	-6.1855	male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	acrocephalus
120666	acrocephalus schoenobaenus	sedge warbler	david m	united kingdom	56.586	-6.1855	male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	acrocephalus
76767	acrocephalus schoenobaenus	sedge warbler	Dunn| Rich	united kingdom	55.2809	-1.5801	song	http://creativecommons.org/licenses/by-nc-nd/2.5/	acrocephalus
124052	acrocephalus scirpaceus	eurasian reed warbler	david m	united kingdom	51.8985	-0.5372	call| female| male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	acrocephalus
124053	acrocephalus scirpaceus	eurasian reed warbler	david m	united kingdom	51.8985	-0.5372	call| female| male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	acrocephalus
27999	acrocephalus scirpaceus	eurasian reed warbler	Stuart Fisher	united kingdom	51.2887	-0.5267	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	acrocephalus
113082	aegithalos caudatus	long-tailed tit	Timo Roeke	netherlands	52.2766	6.7271	alarm call	http://creativecommons.org/licenses/by-nc-sa/3.0/	aegithalos
101371	aegithalos caudatus	long-tailed tit	Krzysiek Deoniziak	poland	52.272	16.797	call	http://creativecommons.org/licenses/by-nc-nd/2.5/	aegithalos
128853	aegithalos caudatus	long-tailed tit	Alexandre Renaudier	spain	38.2072	-3.9626	call	http://creativecommons.org/licenses/by-nc-sa/3.0/	aegithalos
123169	alauda arvensis	eurasian skylark	david m	united kingdom	54.128	-0.5574	male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	alauda
123170	alauda arvensis	eurasian skylark	david m	united kingdom	54.128	-0.5574	male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	alauda
158166	alauda arvensis	eurasian skylark	david m	united kingdom	54.127	-0.556	male| song	http://creativecommons.org/licenses/by-nc-nd/3.0/	alauda
138979	anthus pratensis	meadow pipit	Fernand DEROUSSEN	norway	70.3753	28.4628	song	http://creativecommons.org/licenses/by-nc-nd/3.0/	anthus
30614	anthus pratensis	meadow pipit	Ruud van Beusekom	netherlands	52.2823	5.2256	song	http://creativecommons.org/licenses/by-nc-nd/2.5/	anthus
142431	anthus pratensis	meadow pipit	Erik Roels	netherlands	51.3246	3.7232	flight call| male| song	http://creativecommons.org/licenses/by-nc-sa/3.0/	anthus
83705	anthus trivialis	tree pipit	Jelmer Poelstra	sweden	60.157	17.639	song	http://creativecommons.org/licenses/by-nc-nd/2.5/	anthus
33395	anthus trivialis	tree pipit	Mark Harper	united kingdom	53.2112	-1.0717	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	anthus
99299	anthus trivialis	tree pipit	Tony Whitehead	united kingdom	50.658	-3.719	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	anthus
139552	apus apus	common swift	Volker Arnold	germany	53.0956	10.8457	flight call	http://creativecommons.org/licenses/by-nc-sa/3.0/	apus
67307	apus apus	common swift	Patrik berg	sweden	58.4278	14.2273	Begging call	http://creativecommons.org/licenses/by-nc-sa/3.0/	apus
77645	apus apus	common swift	Richard Dunn	spain	42.629	-0.111	call	http://creativecommons.org/licenses/by-nc-nd/2.5/	apus
94584	branta canadensis	canada goose	Frank Lambert	united kingdom	50.768	0.151	flight call	http://creativecommons.org/licenses/by-nc-nd/3.0/	branta
35578	branta canadensis	canada goose	Arnold Meijer	netherlands	52.1756	4.4003	call	http://creativecommons.org/licenses/by-nc-nd/2.5/	branta
95381	branta canadensis	canada goose	Herman van der Meer	netherlands	52.127	4.326	flight call	http://creativecommons.org/licenses/by-nc-nd/2.5/	branta
64738	calidris alpina	dunlin	Patrik berg	sweden	68.471	20.9	Call	http://creativecommons.org/licenses/by-nc-sa/3.0/	calidris
118363	calidris alpina	dunlin	Marco Dragonetti	italy	42.6683	11.0069	flight call	http://creativecommons.org/licenses/by-nc-nd/3.0/	calidris
83894	calidris alpina	dunlin	Patrik berg	iceland	63.921	-20.764	Song	http://creativecommons.org/licenses/by-nc-nd/2.5/	calidris
156388	caprimulgus europaeus	european nightjar	Jack Berteau	france	46.5874	0.2243	male| song	http://creativecommons.org/licenses/by-nc-sa/3.0/	caprimulgus
67229	caprimulgus europaeus	european nightjar	Patrik berg	sweden	58.4762	14.3726	Song	http://creativecommons.org/licenses/by-nc-sa/3.0/	caprimulgus
27039	caprimulgus europaeus	european nightjar	Patrik berg	sweden	58.4392	14.3298	Song	http://creativecommons.org/licenses/by-nc-sa/3.0/	caprimulgus
133880	carduelis carduelis	european goldfinch	Mike Nelson	united kingdom	55.9937	-3.5605	song	http://creativecommons.org/licenses/by-nc-sa/3.0/	carduelis
97792	carduelis carduelis	european goldfinch	Richard Dunn	united kingdom	55.239	-1.566	song	http://creativecommons.org/licenses/by-nc-nd/2.5/	carduelis
133886	carduelis carduelis	european goldfinch	Mike Nelson	united kingdom	56.0058	-3.5162	flight call| song	http://creativecommons.org/licenses/by-nc-sa/3.0/	carduelis
70129	certhia familiaris	eurasian treecreeper	Paul Driver	united kingdom	51.721	-0.145	song| flight and contact calls	http://creativecommons.org/licenses/by-nc-nd/2.5/	certhia
130409	certhia familiaris	eurasian treecreeper	Jelmer Poelstra	sweden	60.257	17.2172	song	http://creativecommons.org/licenses/by-nc-sa/3.0/	certhia
146753	certhia familiaris	eurasian treecreeper	David Darrell-Lambert	united kingdom	51.5826	-0.1426	song	http://creativecommons.org/licenses/by-nc-sa/3.0/	certhia
